"","ID","sample","donor","timepoint","cytokine","N_mature_nucleus","N_mature_cytoplasm","N_mature_total","N_nascent_Ts_1","N_nascent_Ts_2","N_nascent_total"
"226","D1ACTD_0H__02_Cell_CP_45_TNF","ACTD","D1","0","TNF",5,4,9,0,0,0
"227","D1ACTD_0H__02_Cell_CP_47_IFN","ACTD","D1","0","IFN",3,14,17,0,0,0
"228","D1ACTD_0H__02_Cell_CP_47_TNF","ACTD","D1","0","TNF",1,8,9,0,0,0
"229","D1ACTD_0H__02_Cell_CP_48_IFN","ACTD","D1","0","IFN",9,8,17,0,0,0
"230","D1ACTD_0H__02_Cell_CP_48_TNF","ACTD","D1","0","TNF",12,6,18,0,0,0
"231","D1ACTD_0H__02_Cell_CP_49_IFN","ACTD","D1","0","IFN",6,12,18,0,0,0
"232","D1ACTD_0H__02_Cell_CP_49_TNF","ACTD","D1","0","TNF",4,1,5,0,0,0
"233","D1ACTD_0H__02_Cell_CP_5_IFN","ACTD","D1","0","IFN",1,5,6,0,0,0
"234","D1ACTD_0H__02_Cell_CP_5_TNF","ACTD","D1","0","TNF",7,5,12,0,0,0
"235","D1ACTD_0H__02_Cell_CP_50_IFN","ACTD","D1","0","IFN",7,11,18,0,0,0
"236","D1ACTD_0H__02_Cell_CP_50_TNF","ACTD","D1","0","TNF",9,7,16,0,0,0
"237","D1ACTD_0H__02_Cell_CP_51_IFN","ACTD","D1","0","IFN",17,8,25,0,0,0
"238","D1ACTD_0H__02_Cell_CP_51_TNF","ACTD","D1","0","TNF",8,8,16,0,0,0
"239","D1ACTD_0H__02_Cell_CP_52_IFN","ACTD","D1","0","IFN",4,11,15,0,0,0
"240","D1ACTD_0H__02_Cell_CP_52_TNF","ACTD","D1","0","TNF",6,14,20,0,0,0
"241","D1ACTD_0H__02_Cell_CP_53_IFN","ACTD","D1","0","IFN",6,17,23,0,0,0
"242","D1ACTD_0H__02_Cell_CP_53_TNF","ACTD","D1","0","TNF",11,9,20,0,0,0
"243","D1ACTD_0H__02_Cell_CP_54_IFN","ACTD","D1","0","IFN",5,13,18,0,0,0
"244","D1ACTD_0H__02_Cell_CP_54_TNF","ACTD","D1","0","TNF",5,6,11,0,0,0
"245","D1ACTD_0H__02_Cell_CP_56_IFN","ACTD","D1","0","IFN",4,11,15,0,0,0
"246","D1ACTD_0H__02_Cell_CP_56_TNF","ACTD","D1","0","TNF",6,6,12,0,0,0
"247","D1ACTD_0H__02_Cell_CP_57_IFN","ACTD","D1","0","IFN",15,11,26,0,0,0
"248","D1ACTD_0H__02_Cell_CP_57_TNF","ACTD","D1","0","TNF",10,13,23,0,0,0
"249","D1ACTD_0H__02_Cell_CP_58_IFN","ACTD","D1","0","IFN",2,6,8,0,0,0
