"","ID","sample","donor","timepoint","cytokine","N_mature_nucleus","N_mature_cytoplasm","N_mature_total","N_nascent_Ts_1","N_nascent_Ts_2","N_nascent_total"
"447","D1C_0H_02_Cell_CP_9_IFN","C","D1","0","IFN",1,0,1,0,0,0
"448","D1C_0H_02_Cell_CP_9_TNF","C","D1","0","TNF",0,5,5,0,0,0
"449","D1C_0H_02_Cell_CP_90_IFN","C","D1","0","IFN",0,3,3,0,0,0
"450","D1C_0H_02_Cell_CP_90_TNF","C","D1","0","TNF",6,1,7,0,0,0
"452","D1C_0H_02_Cell_CP_91_TNF","C","D1","0","TNF",1,1,2,0,0,0
"453","D1C_0H_02_Cell_CP_92_IFN","C","D1","0","IFN",3,3,6,0,0,0
"454","D1C_0H_02_Cell_CP_92_TNF","C","D1","0","TNF",3,8,11,0,0,0
"455","D1C_0H_02_Cell_CP_93_IFN","C","D1","0","IFN",0,2,2,0,0,0
"456","D1C_0H_02_Cell_CP_93_TNF","C","D1","0","TNF",0,2,2,0,0,0
"457","D1C_0H_02_Cell_CP_95_IFN","C","D1","0","IFN",0,1,1,0,0,0
"458","D1C_0H_02_Cell_CP_95_TNF","C","D1","0","TNF",4,16,20,0,0,0
"459","D1C_0H_02_Cell_CP_96_IFN","C","D1","0","IFN",3,2,5,10,0,10
"460","D1C_0H_02_Cell_CP_96_TNF","C","D1","0","TNF",2,2,4,0,0,0
"461","D1C_0H_02_Cell_CP_97_IFN","C","D1","0","IFN",2,2,4,0,0,0
"462","D1C_0H_02_Cell_CP_97_TNF","C","D1","0","TNF",3,5,8,0,0,0
"463","D1C_0H_02_Cell_CP_98_IFN","C","D1","0","IFN",0,1,1,0,0,0
"464","D1C_0H_02_Cell_CP_98_TNF","C","D1","0","TNF",1,6,7,5,0,5
"465","D1C_0H_02_Cell_CP_99_IFN","C","D1","0","IFN",0,1,1,0,0,0
"466","D1C_0H_02_Cell_CP_99_TNF","C","D1","0","TNF",1,3,4,0,0,0
"467","D1C_0H_03_Cell_CP_10_IFN","C","D1","0","IFN",0,1,1,0,0,0
"468","D1C_0H_03_Cell_CP_10_TNF","C","D1","0","TNF",1,1,2,0,0,0
"470","D1C_0H_03_Cell_CP_100_TNF","C","D1","0","TNF",0,1,1,0,0,0
"472","D1C_0H_03_Cell_CP_101_TNF","C","D1","0","TNF",5,1,6,5,0,5
"474","D1C_0H_03_Cell_CP_102_TNF","C","D1","0","TNF",0,1,1,0,0,0
