"","ID","N_nascent_Ts_1","N_nascent_Ts_2"
"374","D1_0HCD3CD28_07_Cell_CP_24_TNF",NA,NA
"375","D1_0HCD3CD28_07_Cell_CP_25_TNF",NA,NA
"376","D1_0HCD3CD28_07_Cell_CP_26_TNF",NA,NA
"377","D1_0HCD3CD28_07_Cell_CP_27_TNF",NA,NA
"378","D1_0HCD3CD28_07_Cell_CP_29_TNF",NA,NA
"379","D1_0HCD3CD28_07_Cell_CP_3_TNF",NA,NA
"380","D1_0HCD3CD28_07_Cell_CP_30_TNF",NA,NA
"381","D1_0HCD3CD28_07_Cell_CP_31_TNF",NA,NA
"382","D1_0HCD3CD28_07_Cell_CP_33_TNF",NA,NA
"383","D1_0HCD3CD28_07_Cell_CP_34_TNF",NA,NA
